question,answer,difficulty,httpsource
"What terms are often used by governments or organizations to describe poorer countries?","North/South, Third World/First World","unmarked","#"
"What historical factor contributed to the current position of poorer countries?","Exploitation through colonialism","unmarked","#"
"Which international institutions refer to countries based on wealth and/or human development?","World Bank, IMF, United Nations (UN) organizations, The media","unmarked","#"
"How do the World Bank and IMF categorize countries economically?","Using economic indicators like GDP per capita, GNP per capita, and GNI per capita","unmarked","#"
"What criteria does the UN use to measure development?","Economic indicators and human development indicators","unmarked","#"
"What terms do institutions use to distinguish countries by development level?","Most developed countries, developed countries, less developed countries, developing countries, least developed countries","unmarked","#"
"What historical event is crucial for understanding poorer countries' current status?","Long histories of exploitation through colonialism","unmarked","#"
"Which two economic blocs emerged during the Cold War?","Capitalist First World (US-led) and Socialist Second World (USSR-led)","unmarked","#"
"What was the primary purpose of the 1884 Berlin Conference?","To settle European territorial disputes in Africa during colonization","unmarked","#"
"What percentage of Africa was under European control by 1914?","90%","unmarked","#"
"Name three cash crops Europeans forced Africans to grow for export.","Rubber, cocoa, coffee, tea, cotton, tobacco (any three)","unmarked","#"
"What positive impacts did colonialism have in Africa?","Medical advancements, infrastructure development, introduction of literacy","unmarked","#"
"Which organization is considered the 'rich countries club' in development studies?","OECD (Organization for Economic Cooperation and Development)","unmarked","#"
"What GNI per capita threshold defines a low-income country according to the World Bank?","Below $1,035","unmarked","#"
"Which three dimensions does the Human Development Index (HDI) measure?","1. Long/healthy life 2. Knowledge 3. Decent standard of living","unmarked","#"
"What does a U5MR of 99/1000 indicate about a country?","High child mortality linked to poor healthcare, nutrition, and sanitation","unmarked","#"
"Which two countries disprove the strict geographic North-South wealth division?","Australia and New Zealand (developed but Southern Hemisphere)","unmarked","#"
"What key limitation do GDP and GNP share as development indicators?","They don't reflect wealth distribution or quality of life","unmarked","#"
"Whose work forms the basis of the UNDP's human development definition?","Mahbub ul Haq","unmarked","#"
"What was the main economic purpose of European colonies in Africa?","Extract raw materials to fuel European industries","unmarked","#"
"Describe the Non-Aligned Movement's position during the Cold War.","Rejected alignment with both capitalist and socialist blocs","unmarked","#"
"What percentage of global absolute poor lived in sub-Saharan Africa in 2021?","63% (433 million people)","unmarked","#"
"How does the IMF categorize 'emerging economies'?","Based on per capita income, export diversification, global financial integration","unmarked","#"
"What does WHO consider a key predictor in U5MR calculations?","Mothers' educational attainment levels","unmarked","#"
"Which 2020 HDI score category includes Botswana?","Medium human development (0.631-0.753 range)","unmarked","#"
"What makes South Africa an anomaly in development classifications?","Upper-middle income but world's highest inequality","unmarked","#"
"What premise do critics challenge about the term 'developing country'?","Assumption of universal progression toward Western-style development","unmarked","#"
"What key factor enabled European penetration into Africa's interior post-1820?","Discovery of quinine's effectiveness against malaria","unmarked","#"
"Which demographic bears unmeasured GDP contributions in developing nations?","Women's unpaid domestic work and childcare","unmarked","#"
"What SDG target was set for under-five mortality by 2030?","25 deaths/1000 live births","unmarked","#"
"Name three limitations of colonial-era infrastructure in Africa.","Extractive-only design, linked to ports/resources not local needs, unequally distributed","unmarked","#"
"What key distinction does Kingsbury et al (2004) make between 'development' definitions?","Shift from expert-led industrialization to people-centered goals","unmarked","#"
"Why did newly independent countries form the Non-Aligned Movement?","To reject alignment with Cold War blocs and seek autonomous development","unmarked","#"
"What contradiction exists in Australia’s classification under the North-South model?","Geographically southern but categorized as 'developed North'","unmarked","#"
"How did quinine enable 19th-century European colonization of Africa?","Protected settlers from malaria, allowing inland expansion","unmarked","#"
"Name two economic impacts of Europe’s 1873-1879 depression on Africa.","Increased resource extraction demand; reliance on cheap African labor","unmarked","#"
"What makes Botswana atypical in World Bank classifications?","Upper-middle income despite sub-Saharan location/poverty rates","unmarked","#"
"List three limitations of the Human Development Index (HDI).","1. Ignores inequality 2. No environmental data 3. Relies on incomplete datasets","unmarked","#"
"Why is Equatorial Guinea cited as a GDP/GNI paradox?","High income from oil but poor health/education outcomes","unmarked","#"
"What historical factor explains India’s 'lower-middle income' classification?","Colonial focus on cash crops over industrialization","unmarked","#"
"How does GNI differ from GDP in measuring development?","Includes foreign income/remittances vs. domestic production only","unmarked","#"
"What social disruption occurred due to colonial labor policies in Africa?","Urban migration for mining/factories, breakdown of rural communities","unmarked","#"
"Explain Toye’s 1993 defense of 'Third World' terminology.","Valid due to shared colonial trauma, not just Cold War non-alignment","unmarked","#"
"What data gap undermines U5MR’s reliability in LDCs?","Incomplete birth/death registrations in rural areas","unmarked","#"
"How did the Brandt Line (1980) simplify development classifications?","Divided world into wealthy Northern Hemisphere vs. poor South","unmarked","#"
"List three reasons why 'developed/developing' labels are criticized.","1. Implies Western ideal 2. Ignores cultural diversity 3. Hides inequality","unmarked","#"
"What post-WWII factor accelerated African decolonization?","European economic weakness + US anti-colonial pressure","unmarked","#"
"How does SDG Target 3.2 use U5MR?","As indicator for child health system effectiveness","unmarked","#"
"Contrast colonial infrastructure vs. modern development needs in Africa.","Built for extraction (ports, mines) vs. needs for local connectivity","unmarked","#"
"Why is mean years of schooling (MYS) used in HDI calculations?","Measures actual education attainment vs. enrollment rates","unmarked","#"
"Name two IMF criteria for 'emerging economy' classification.","1. Export diversification 2. Global financial integration","unmarked","#"
"What paradox does South Africa’s 0.709 HDI score obscure?","World’s highest inequality despite 'high human development' label","unmarked","#"
"How did the 1955 Bandung Conference redefine development discourse?","Prioritized Global South solidarity over Cold War binaries","unmarked","#"
"What makes Bhutan an outlier in geographic classification systems?","Northern Hemisphere LDC contradicting North=wealth assumption","unmarked","#"
